,names,values
767,Jakob,M
768,James,M
769,Jamie,M
770,Jan,M
771,Jane,F
772,Janeen,M
773,Janet,F
774,Janine,F
775,Janis,F
776,Jared,M
777,Jarle,M
778,Jarred,M
779,Jason,M
780,Jaume,M
781,Javier,M
782,Jay,M
783,Jayne,F
784,Jean,M
785,Jean-Baptiste,M
786,Jean-Jacques,M
787,Jean-Luc,M
788,Jean-Marc,M
789,Jean-Marie,M
790,Jean-Philippe,M
791,Jean-Yves,M
792,Jeanette,F
793,Jeanne,F
794,Jeannine,F
795,Jeb,M
796,Jed,M
797,Jeff,M
798,Jeffery,M
799,Jeffrey,M
800,Jennie,F
801,Jennifer,F
802,Jennings,M
803,Jenny,F
804,Jeong-hwan,M
805,Jeremy,M
806,Jeroen,M
807,Jerome,M
808,Jerry,M
809,Jerzy,M
810,Jess,M
811,Jesse,M
812,Jessica,F
813,Jessinta,M
814,Jesyca,M
815,JesåÕ_s,M
816,Jet,F
817,Ji-Yeon,M
818,Jill,F
819,Jillian,F
820,Jim,M
821,Jimmy,M
822,Jin,M
823,Jinko,M
824,Jisun,M
825,Jo,F
826,JoAnn,F
827,Joan,F
828,Joanie,F
829,Joann,F
830,Joanna,F
831,Joanne,F
832,Joaquin,M
833,Jocelyn,F
834,Jodie,F
835,Jody,F
836,Joe,M
837,Joel,M
838,Joep,M
839,Joey,M
840,Johan,M
841,John,M
842,Johnathan,M
843,Johnnie,M
844,Johnny,M
845,Jon,M
846,Jon-Marc,M
847,Jonako,M
848,Jonas,M
849,Jonathan,M
850,Jong-eun,M
851,Joon,M
852,Joon-ho,M
853,Joonas,M
854,Joone,M
855,Jordi,M
856,Jose,M
857,Josef,M
858,Joseph,M
859,Josh,M
860,Joshua,M
861,Josi,M
862,Joslyn,F
863,JosåÕå©,M
864,JosåÕå©e,F
865,Joy,F
866,Joyce,F
867,Juan,M
868,Judd,M
869,Judi,F
870,Judy,F
871,Juergen,M
872,Jukka,M
873,Jules,M
874,Julia,F
875,Julian,M
876,Julie,F
877,Julien,M
878,Juliet,F
879,Julio,M
880,Julius,M
881,JuliåÕåçn,M
882,Jun,M
883,Jungo,M
884,Justin,M
885,JåÕ_rn,M
886,JåÕ_zsef,M
887,Kaari,M
888,Kai,M
889,Kamel,M
890,Kaneo,M
891,Kara,F
892,Karen,F
893,Karim,M
894,Karin,F
895,Karina,F
896,Karinne,M
897,Karl,M
898,Katarina,F
899,Kate,F
900,Katharina,F
901,Katherine,F
902,Kathleen,F
903,Kathryn,F
904,Kathy,F
905,Katie,F
906,Katinka,F
907,Katja,F
908,Katsumi,M
909,Katterli,M
910,Kay,F
911,Kayce,M
912,Kazuhiko,M
913,Kazuhiro,M
914,Kazuya,M
915,Kee-young,M
916,Kees,M
917,Keiji,M
918,Keith,M
919,Kelley,F
920,Kelly,M
921,Ken,M
922,Kendra,F
923,Kenji,M
924,Kenneth,M
925,Kenny,M
926,Kent,M
927,Kenta,M
928,Kerry,M
929,Keung,M
930,Kevin,M
931,Khadija,F
932,Ki,M
933,Kiichi,M
934,Kikumaru,M
935,Kim,F
936,Kimberly,F
937,Kiowa,M
938,Kira,F
939,Kiri,F
940,Kirk,M
941,Kjell,M
942,Klara,F
943,Klaus,M
944,Knud,M
945,Koji,M
946,Kokayi,M
947,Kon,M
948,Kristan,M
949,Kristian,M
950,Kristin,F
951,Kristine,F
952,Kumi,M
953,Kunijiro,M
954,Kuo-Fu,M
955,Kurt,M
956,Kyeung,M
957,Kyle,M
958,KåÕåâji,M
959,Lacy,F
960,Lake,M
961,Lamar,M
962,Lamberto,M
963,Lance,M
964,Lara,F
965,Lark,F
966,Larry,M
967,Lars-Owe,M
968,Lasse,M
969,Laura,F
970,Lauranne,M
971,Laurel,F
972,Lauren,F
973,Laurence,M
974,Laurent,M
975,Lauri,M
976,Laurie,F
977,Lawrence,M
978,Le,M
979,Leah,F
980,Lee,M
981,Leifur,M
982,Leigh,F
983,Leigh-Allyn,M
984,Lelia,F
985,Len,M
986,Lena,F
987,Lene,F
988,Leni,F
989,Leo,M
990,Leon,M
991,Leonard,M
992,Les,M
993,Leslie,F
994,Lester,M
995,Letty,F
996,Levon,M
997,Lew,M
998,Lewis,M
999,Liam,M
1000,Liat,F
1001,Libby,F
1002,Lillian,F
1003,Lilly,F
1004,Linda,F
1005,Lindsay,F
1006,Lindsey,F
1007,Lionello,M
1008,Lisa,F
1009,Liz,F
1010,Lizette,F
1011,Lizzie,F
1012,Lloyd,M
1013,Lolita,F
1014,Lorelle,F
1015,Lorenzo,M
1016,Lori,F
1017,Lorri,F
1018,Lou,F
1019,Louis,M
1020,Louisa,F
1021,Louise,F
1022,Lowell,M
1023,Loyd,M
1024,Lu,M
1025,Luc,M
1026,Luca,M
1027,Lucas,M
1028,Lucia,F
1029,Luciano,M
1030,Lucien,M
1031,Lucinda,F
1032,Lucy,F
1033,Luigi,M
1034,Luis,M
1035,Luke,M
1036,LukåÕåçs,M
1037,Lyda,F
1038,Lydia,F
1039,Lyndon,M
1040,Lynn,F
1041,Lynne,F
1042,Lyse,M
1043,LåÕå©on,M
1044,M.,M
1045,M.J.,M
1046,Mack,M
1047,Macon,M
1048,Madhur,M
1049,Mag,M
1050,Magne,M
1051,Maguy,M
1052,Maher,M
1053,Mairi,F
1054,Majid,M
1055,Makoto,M
1056,Malaika,F
1057,Malek,M
1058,Malika,F
1059,Malini,F
1060,Malte,M
1061,Mami,F
1062,Man-Yiu,M
1063,Man-taek,M
1064,Manolo,M
1065,Manon,F
1066,Marc,M
1067,Marc-BenoåÕÌât,M
1068,Marcel,M
1069,Marcello,M
1070,Marcelo,M
1071,Marci,F
1072,Marcia,F
1073,Marco,M
1074,Marcos,M
1075,Marcus,M
1076,Marek,M
1077,Maren,F
1078,Margaret,F
1079,Margery,F
1080,Margo,F
1081,Maria,F
1082,Marianne,F
1083,Marie,F
1084,Marie-Odile,M
1085,Mariela,M
1086,Marietta,F
1087,Marilyn,F
1088,Marin,M
1089,Marina,F
1090,Mario,M
1091,Marion,F
1092,Marisa,F
1093,Marius,M
1094,MarivåÕ_,M
1095,Mark,M
1096,Markus,M
1097,Marlen,M
1098,Marshall,M
1099,Mart,M
1100,Marta,F
1101,Martha,F
1102,Martin,M
1103,Martina,F
1104,Marty,M
1105,Marvin,M
1106,Mary,F
1107,Maryam,F
1108,Maryann,F
1109,MaråÕ_a,F
1110,Masahiro,M
1111,Masaichi,M
1112,Masami,F
1113,Masato,M
1114,Masatsugu,M
1115,Masayuki,M
1116,Mathew,M
1117,Mathias,M
1118,Matias,M
1119,Matt,M
1120,Matteo,M
1121,Matthew,M
1122,Matthias,M
1123,Matthieu,M
1124,Maureen,F
1125,Maurice,M
1126,Mauricio,M
1127,Maurizio,M
1128,Mauro,M
1129,Maury,M
1130,MauråÕ_cio,M
1131,Max,M
1132,Maxim,M
1133,Maxime,M
1134,Maya,F
1135,Mayumi,M
1136,Megan,F
1137,Meir,M
1138,Mel,M
1139,Melanie,F
1140,Melissa,F
1141,Melvin,M
1142,Mercedes,F
1143,Mercy,F
1144,Meredith,M
